beta	a	b	lmax	sigmaT/((4 pi)/k^2)	DeltasigmaT	delta_lmax	counter
0.001	5000.	0.000020000000000000005	46	6.526954195603816e-10	0.0008647253219308112	-0.000023585188130165067	10
0.001202264434617413	4158.818855513355	0.000024045288692348264	47	7.239594786912631e-10	0.009241094679724648	-0.000023301059119732404	10
0.001445439770745928	3459.154854594681	0.000028908795414918564	52	8.045347394120949e-10	0.0006487249520970485	-0.000025776175828047856	10
0.0017378008287493763	2877.199686685783	0.000034756016574987535	45	6.204563367710191e-10	0.0002242822416776139	-0.000022721131779574898	10
0.0020892961308540386	2393.1504616131924	0.00004178592261708078	47	6.326725684936352e-10	0.0074782480894919085	-0.000024054113088502352	10
0.0025118864315095794	1990.5358527674866	0.000050237728630191596	38	4.102609261155803e-10	0.0002204537975584356	-0.000019291621979823963	10
0.003019951720402016	1655.6556074129553	0.000060399034408040337	43	6.603155650640559e-10	0.0014650471482213448	-0.000021868327616289266	10
0.003630780547701014	1377.114351669083	0.0000726156109540203	37	6.401254761250685e-10	0.005188526783206393	-0.00001902743139502358	10
0.004365158322401661	1145.433826383886	0.00008730316644803324	35	3.5887043671067997e-10	0.005573016349173963	-0.000018096309008959257	10
0.005248074602497723	952.7303589816241	0.00010496149204995448	30	3.16969372581109e-10	0.009641204152347363	-0.000015236345269898842	10
0.00630957344480193	792.4465962305569	0.00012619146889603864	29	3.5626685997979583e-10	0.00519217967201595	-0.00001506961734501592	10
0.007585775750291836	659.1283692782036	0.00015171551500583674	19	2.663013404475578e-10	0.007562384959431216	-9.95563217766854e-6	10
0.009120108393559097	548.2390980715925	0.00018240216787118198	13	3.088788855030883e-10	0.00026852885798164366	-7.0459178610121465e-6	10
0.01096478196143185	456.0054196779548	0.00021929563922863706	13	4.580277590111753e-10	0.0004352251020195575	-7.1456289302189245e-6	10
0.013182567385564075	379.2887875145918	0.00026365134771128153	11	6.417269382723025e-10	0.006599144638324577	-5.888208960600432e-6	10
0.015848931924611134	315.4786722400966	0.00031697863849222273	11	9.197169721726759e-10	0.0004248730683816758	-5.982735980533206e-6	10
0.019054607179632473	262.4037301248863	0.0003810921435926495	10	1.3151113508501177e-9	0.0014522094490192396	-5.704779200212218e-6	10
0.022908676527677734	218.2579161200829	0.0004581735305535548	11	1.931797575747773e-9	0.0000154067519341514	-6.409613385174184e-6	10
0.02754228703338166	181.53902738505067	0.0005508457406676333	10	2.782817295678104e-9	0.00048600593444997597	-5.410825920663995e-6	10
0.03311311214825911	150.99758602010078	0.0006622622429651824	10	4.05895710370282e-9	0.00003481538366640291	-5.370007781296955e-6	10
0.039810717055349734	125.59432157547897	0.0007962143411069948	10	5.894636142732489e-9	0.0006138195887711512	-5.6864459543030785e-6	10
0.047863009232263824	104.464806542702	0.0009572601846452766	10	8.512826100392268e-9	0.0010257110384910284	-5.373454609687033e-6	10
0.057543993733715694	86.89004143746877	0.0011508798746743141	10	1.2348099711295675e-8	0.0001228615728647697	-5.154279379159261e-6	10
0.06918309709189366	72.27198853729637	0.0013836619418378735	10	1.783576257261366e-8	0.0005461214331892084	-5.443320156212376e-6	10
0.08317637711026708	60.113221730870656	0.001663527542205342	10	2.5870280462112614e-8	0.00024666544291222927	-5.377241894591097e-6	10
0.1	49.99999999999999	0.0020000000000000005	10	3.754676678631016e-8	0.00024041399129873662	-5.079019809294915e-6	10
0.12022644346174131	41.58818855513354	0.002404528869234827	10	5.4287657126014914e-8	8.53275228107898e-6	-5.543281044573943e-6	10
0.1445439770745928	34.591548545946814	0.0028908795414918564	10	7.852763155993155e-8	0.0003092327811706277	-4.787210103318252e-6	10
