beta	a	b	lmax	sigmav/((4 pi)/k^2)	Deltasigmav	delta_lmax	counter
0.001	49999.99999999999	2.0000000000000002e-7	53	1.0833908510816532e-9	0.0010399102531270816	-0.000026925084727926447	10
0.001202264434617413	41588.18855513354	2.404528869234826e-7	62	1.4031726630508012e-9	0.009322844835780867	-0.00003175276019397392	10
0.001445439770745928	34591.54854594681	2.8908795414918563e-7	54	1.0724700126354468e-9	0.000037979519690060825	-0.000026908438237075874	10
0.0017378008287493763	28771.996866857833	3.475601657498753e-7	66	1.6289837213602205e-9	0.000022663514118597724	-0.00003379121912843355	10
0.0020892961308540386	23931.50461613193	4.1785922617080775e-7	63	1.586900847740601e-9	0.0012076069741682558	-0.000030642915368903854	10
0.0025118864315095794	19905.358527674867	5.023772863019159e-7	63	1.5083597918624704e-9	0.004535226228599357	-0.00003164920053803699	10
0.003019951720402016	16556.556074129556	6.039903440804033e-7	54	1.093125874542046e-9	0.009912887688648668	-0.000027251357419478282	10
0.003630780547701014	13771.14351669083	7.261561095402028e-7	54	1.160601883546662e-9	0.00018213538292709917	-0.00002736265960100073	10
0.004365158322401661	11454.338263838861	8.730316644803322e-7	54	9.11978381316063e-10	0.009751047291915968	-0.000027334193699997966	10
0.005248074602497723	9527.303589816242	1.0496149204995447e-6	58	1.2949266226930443e-9	0.0022784355242675327	-0.000029698091199863907	10
0.00630957344480193	7924.4659623055695	1.2619146889603861e-6	48	1.0557181673451802e-9	0.0002264116229303456	-0.000024405950018895868	10
0.007585775750291836	6591.283692782037	1.5171551500583673e-6	60	1.1551854647435372e-9	0.007072682462569642	-0.000030088317856750517	10
0.009120108393559097	5482.390980715925	1.8240216787118195e-6	53	8.625424573314253e-10	0.0073968593424484945	-0.000026281226130374674	10
0.01096478196143185	4560.054196779548	2.19295639228637e-6	64	1.6019003120541016e-9	0.0002867658442193057	-0.00003278681760213908	10
0.013182567385564075	3792.887875145918	2.636513477112815e-6	59	1.2041878052536212e-9	0.006148626908323414	-0.00002922567583619344	10
0.015848931924611134	3154.7867224009665	3.169786384922227e-6	61	1.3386546967416714e-9	0.0020625878644034705	-0.000030398965847537087	10
0.019054607179632473	2624.0373012488626	3.810921435926495e-6	67	1.9968035892867458e-9	0.0004259553916978193	-0.00003438029788226561	10
0.022908676527677734	2182.5791612008293	4.581735305535547e-6	43	6.984652268039467e-10	0.007910597648228846	-0.00002168321291355436	10
0.02754228703338166	1815.390273850507	5.508457406676333e-6	60	1.1774207111349449e-9	0.0004144176890423183	-0.00003000474925771218	10
0.03311311214825911	1509.975860201008	6.622622429651823e-6	56	9.674302825106353e-10	0.008063083298424565	-0.000027914530748600747	10
0.039810717055349734	1255.9432157547897	7.962143411069947e-6	61	1.237287083595572e-9	0.006680702639639057	-0.00002988755533413447	10
0.047863009232263824	1044.64806542702	9.572601846452765e-6	60	1.3421406209583915e-9	0.00434054984325612	-0.000030398098673083294	10
0.057543993733715694	868.9004143746877	0.000011508798746743139	60	1.5355959464047317e-9	0.00040872316926198555	-0.000030122742359228896	10
0.06918309709189366	722.7198853729636	0.000013836619418378732	61	1.5802028514332203e-9	0.0047076236916930025	-0.00003112070226630587	10
0.08317637711026708	601.1322173087066	0.00001663527542205342	66	1.5766471481404827e-9	0.008913036308581592	-0.00003297122926341729	10
0.1	500.	0.00002	64	1.4283176704652862e-9	0.007404401969525627	-0.00003233584198022215	10
0.12022644346174131	415.8818855513354	0.000024045288692348264	72	1.9845101670587024e-9	0.007873422203438113	-0.00003655288141046321	10
0.1445439770745928	345.91548545946813	0.00002890879541491856	53	1.0600853418767613e-9	0.003592326471483487	-0.000027028637868448646	10
0.17378008287493762	287.71996866857836	0.00003475601657498753	58	1.8450890876399767e-9	0.009835654308796661	-0.00002870442988200527	10
0.20892961308540386	239.3150461613193	0.00004178592261708078	65	1.5718609620288554e-9	0.0013580127134483044	-0.00003301031922406568	10
0.25118864315095796	199.0535852767487	0.000050237728630191596	69	1.916886971947699e-9	0.0005440036442074513	-0.00003478206684380739	10
0.3019951720402016	165.56556074129554	0.00006039903440804032	53	1.024524078968586e-9	0.007175867171810935	-0.000026444881066079096	10
0.3630780547701014	137.7114351669083	0.00007261561095402028	61	1.412154452341915e-9	0.009729942167138472	-0.0000303367538791911	10
0.4365158322401661	114.54338263838862	0.00008730316644803323	58	1.271072929389231e-9	0.0007993106990042767	-0.0000294963899946241	10
0.5248074602497729	95.2730358981623	0.00010496149204995457	57	1.1335358253853794e-9	0.003230244009395962	-0.00002798957751135555	10
0.6309573444801936	79.24465962305563	0.00012619146889603872	60	1.4086782168590028e-9	0.002490164311765693	-0.000029572323691694383	10
0.7585775750291835	65.91283692782036	0.00015171551500583672	59	1.367404010798049e-9	0.004773313254644118	-0.000029476452749633964	10
0.9120108393559097	54.823909807159254	0.00018240216787118193	52	1.0167137170842391e-9	0.008471541927304363	-0.000026119270642347463	10
1.096478196143185	45.600541967795486	0.00021929563922863703	67	1.6204623120680073e-9	0.007581482268108223	-0.00003388341849169681	10
1.3182567385564075	37.92887875145918	0.0002636513477112815	51	9.154308729134647e-10	0.001102244666113461	-0.00002578246696367491	10
1.584893192461114	31.54786722400965	0.00031697863849222284	58	1.1427556564305527e-9	0.0017180991088600862	-0.00002892051232007889	10
1.9054607179632483	26.240373012488615	0.0003810921435926497	62	1.6317974536269172e-9	0.0017729063132649852	-0.00003166843776894732	10
2.2908676527677723	21.825791612008306	0.00045817353055355446	50	1.0062726040122107e-9	0.009907978146838324	-0.000025418557717349733	10
2.7542287033381663	18.153902738505067	0.0005508457406676332	58	1.3994632325534581e-9	0.008355006175396416	-0.000028773785021965466	10
3.311311214825911	15.099758602010079	0.0006622622429651823	56	1.112533117473485e-9	0.003228689131763051	-0.000028141701698058888	10
3.981071705534973	12.559432157547898	0.0007962143411069947	57	1.2751546516242871e-9	0.0076094068969715595	-0.000028922540494667755	10
4.786300923226385	10.446480654270193	0.0009572601846452771	64	1.5716397156610886e-9	0.004725737882399076	-0.000032190013885608987	10
5.754399373371572	8.689004143746873	0.0011508798746743146	61	1.3698844258234111e-9	0.0017882843610555065	-0.00003132616319586737	10
6.918309709189363	7.227198853729639	0.0013836619418378727	46	8.032696043883539e-10	0.00024248512303101443	-0.000022871990597362898	10
8.317637711026709	6.0113221730870645	0.001663527542205342	48	9.203408281638045e-10	0.005307064789343715	-0.00002452998422883643	10
10.	5.	0.002	20	3.634716566410279e-10	0.0013547643077561906	-0.000010423544921136927	10
12.02264434617413	4.1588188555133545	0.0024045288692348264	30	6.15397291051778e-10	0.0030186692844584107	-0.00001563248060409443	10
14.45439770745928	3.4591548545946806	0.0028908795414918564	14	5.6764990399169e-10	0.005390357331988897	-7.51987338637522e-6	10
17.378008287493763	2.8771996866857834	0.003475601657498753	10	7.683219654189819e-10	0.00610440182519076	-5.470191122890641e-6	10
20.892961308540407	2.3931504616131902	0.0041785922617080815	10	1.104078130465351e-9	0.0022370775511294573	-5.509114025584168e-6	10
25.11886431509582	1.990535852767485	0.005023772863019164	10	1.5904993403048866e-9	0.0064345840077234965	-5.154256470288443e-6	10
30.199517204020193	1.6556556074129538	0.006039903440804039	10	2.322025978195857e-9	0.0029972712837123207	-5.559664944081897e-6	10
36.30780547701018	1.3771143516690816	0.007261561095402036	10	3.35493954581441e-9	0.002016222125445586	-5.846311317609755e-6	10
43.65158322401656	1.1454338263838872	0.008730316644803313	10	4.880826605298935e-9	0.002347688690159894	-5.104942444174704e-6	10
52.48074602497723	0.9527303589816241	0.010496149204995446	10	7.075529830460684e-9	0.0013539796506322622	-5.280834416480735e-6	10
63.0957344480193	0.792446596230557	0.01261914688960386	10	1.0192305897974371e-8	0.00028993206256882443	-5.4690108315704094e-6	10
75.85775750291836	0.6591283692782036	0.015171551500583674	10	1.4694879141471355e-8	0.0005791932668050869	-5.393243799762699e-6	10
91.20108393559097	0.5482390980715925	0.018240216787118197	10	2.1286503426919684e-8	0.00010959467329473769	-5.494603951632315e-6	10
109.64781961431851	0.4560054196779548	0.0219295639228637	10	3.0689630951707386e-8	0.0002514707199088044	-5.170254632534222e-6	10
131.82567385564073	0.37928878751459183	0.026365134771128146	10	4.4321917866127745e-8	0.0000390548111665235	-5.420755792916006e-6	10
158.48931924611142	0.31547867224009646	0.03169786384922228	10	6.37639340016876e-8	0.00005446168752469006	-5.630258462852331e-6	10
190.54607179632484	0.26240373012488616	0.03810921435926497	10	9.182357059029167e-8	0.00003738693847304489	-5.729072491102321e-6	10
229.08676527677747	0.2182579161200828	0.045817353055355496	10	1.31751907375219e-7	0.00003101345786838851	-5.332551037390236e-6	10
275.4228703338169	0.1815390273850505	0.055084574066763384	10	1.889703785098023e-7	0.000027063997648954498	-5.256977348903117e-6	10
