beta	a	b	lmax	sigmaT/((4 pi)/k^2)	DeltasigmaT	delta_lmax	counter
0.001	250.	0.008	13	3.7757705885861798e-6	1.0694275714625162e-7	-7.974763168643198e-6	10
0.001202264434617413	207.94094277566774	0.009618115476939304	13	5.458331797359652e-6	3.680310687816424e-8	-8.23712264463172e-6	10
0.001445439770745928	172.95774272973406	0.011563518165967424	13	7.887446395374859e-6	9.10512372240973e-9	-8.802585179993634e-6	10
0.0017378008287493763	143.85998433428918	0.01390240662999501	13	0.000011399120277472498	1.5205915635861267e-9	-8.909080062843525e-6	10
0.0020892961308540386	119.65752308065964	0.01671436904683231	13	0.00001647291440137114	1.8333693789095894e-7	-9.182620559016262e-6	10
0.0025118864315095794	99.52679263837435	0.020095091452076635	13	0.000023797312992489212	2.627955681371592e-7	-9.86235659073843e-6	10
0.003019951720402016	82.78278037064777	0.02415961376321613	13	0.00003437517951276708	1.058924482444791e-9	-9.900285151133901e-6	10
0.003630780547701014	68.85571758345415	0.029046244381608112	13	0.00004964747516468185	2.0491955268008858e-7	-0.00001101396646833501	10
0.004365158322401661	57.27169131919431	0.03492126657921329	13	0.00007169695696677728	8.442849178728601e-7	-0.000012367906764923037	10
0.005248074602497723	47.63651794908121	0.04198459681998178	13	0.00010352269400449916	6.346774871749103e-7	-0.000013044972646095202	10
0.00630957344480193	39.62232981152785	0.05047658755841544	13	0.00014943198017408724	1.2587650916869738e-6	-0.000014884346840290985	10
0.007585775750291836	32.95641846391018	0.06068620600233469	13	0.00021565235626015488	5.071008648387025e-7	-0.000015106776065607962	10
0.009120108393559097	27.411954903579627	0.07296086714847277	13	0.0003109945954159327	8.098723210691215e-7	-0.000017934081280068665	10
0.01096478196143185	22.800270983897743	0.0877182556914548	13	0.0004484231434440157	7.960137239997161e-7	-0.00001974420000813304	10
0.013182567385564075	18.96443937572959	0.1054605390845126	13	0.0006462928150471714	8.04762053789635e-7	-0.000022584087900775366	10
0.015848931924611134	15.773933612004832	0.12679145539688907	13	0.0009309558914635965	7.109676024306854e-7	-0.000025649216728940253	10
0.019054607179632473	13.120186506244314	0.1524368574370598	13	0.0013400885058891731	8.897066355313217e-7	-0.000029712524412790136	10
0.022908676527677734	10.912895806004148	0.18326941222142187	13	0.0019234679189233349	1.032746403019168e-6	-0.000034043292937249096	10
0.02754228703338166	9.076951369252535	0.22033829626705329	13	0.0027626273719142647	8.81193003555839e-7	-0.000039388357091247545	10
0.03311311214825911	7.549879301005039	0.2649048971860729	13	0.0039773558600941835	8.841654870785528e-7	-0.000045723546992884136	10
0.039810717055349734	6.279716078773949	0.3184857364427979	13	0.00569864093080286	8.756271602834452e-7	-0.00005339972670134621	10
0.047863009232263824	5.2232403271351	0.3829040738581106	13	0.008149254100867682	8.660436534267866e-7	-0.00006316036598935296	10
0.057543993733715694	4.344502071873438	0.46035194986972555	13	0.011626465910249597	8.602499788408899e-7	-0.00007406773191966914	10
