beta	a	b	lmax	sigmaT/((4 pi)/k^2)	DeltasigmaT	delta_lmax	counter
0.001	250.	0.008	13	3.790997513419319e-6	4.219842527659747e-6	-5.451079848780628e-6	10
0.001202264434617413	207.94094277566774	0.009618115476939304	13	5.480295198337718e-6	1.0281572176514684e-6	-5.668323557855797e-6	10
0.001445439770745928	172.95774272973406	0.011563518165967424	13	7.922743883096007e-6	6.967303705399567e-6	-4.820114355032841e-6	10
0.0017378008287493763	143.85998433428918	0.01390240662999501	13	0.000011455178382020863	3.7854962219795137e-6	-4.744306415783162e-6	10
0.0020892961308540386	119.65752308065964	0.01671436904683231	13	0.00001656340014380648	1.836371262570785e-6	-4.42641979988622e-6	10
0.0025118864315095794	99.52679263837435	0.020095091452076635	13	0.000023951314368836804	7.478888715408917e-7	-4.311153799819451e-6	10
0.003019951720402016	82.78278037064777	0.02415961376321613	13	0.00003463996658827363	1.5339922723965577e-6	-3.1420988152348877e-6	10
0.003630780547701014	68.85571758345415	0.029046244381608112	13	0.000050106365283147545	1.93654523626487e-6	-2.3076039217933576e-6	10
0.004365158322401661	57.27169131919431	0.03492126657921329	13	0.00007248725608243462	1.0389367121443618e-6	-1.7468963567518032e-6	10
0.005248074602497723	47.63651794908121	0.04198459681998178	13	0.00010488667506632994	1.8545450198328266e-6	-2.1144480035487034e-7	10
0.00630957344480193	39.62232981152785	0.05047658755841544	13	0.0001517960729008912	1.3725935066423067e-6	7.639686042111901e-7	10
0.007585775750291836	32.95641846391018	0.06068620600233469	13	0.0002196455389530689	1.46332154914592e-6	2.303165080154722e-6	10
0.009120108393559097	27.411954903579627	0.07296086714847277	13	0.00031806800980497066	9.929883247599745e-7	3.576904355218534e-6	10
0.01096478196143185	22.800270983897743	0.0877182556914548	13	0.0004607653335163946	8.544866567607233e-7	5.5099550150018895e-6	10
0.013182567385564075	18.96443937572959	0.1054605390845126	13	0.0006677692575631566	8.347141849634505e-7	8.259905867185129e-6	10
0.015848931924611134	15.773933612004832	0.12679145539688907	13	0.00096826107099059	9.291930845742316e-7	0.000011489898267133984	10
0.019054607179632473	13.120186506244314	0.1524368574370598	13	0.0014048232406841904	9.233839762842694e-7	0.00001574919979919868	10
0.022908676527677734	10.912895806004148	0.18326941222142187	13	0.0020396820525145714	8.739961648630576e-7	0.00001981474976120817	10
0.02754228703338166	9.076951369252535	0.22033829626705329	13	0.0029639101821227914	9.271185711073397e-7	0.000025576886983761257	10
0.03311311214825911	7.549879301005039	0.2649048971860729	13	0.004311190075484258	8.495823400634795e-7	0.00003168615026672496	10
0.039810717055349734	6.279716078773949	0.3184857364427979	13	0.006277873795590356	8.874790548303906e-7	0.00003997829740883879	10
0.047863009232263824	5.2232403271351	0.3829040738581106	13	0.00915350004910669	8.160748143890284e-7	0.00004929921386901313	10
0.057543993733715694	4.344502071873438	0.46035194986972555	13	0.013365580387679255	7.778158228981205e-7	0.00006028745343263333	10
0.06918309709189366	3.6135994268648184	0.5534647767351493	14	0.01954662699916923	3.2899351148256607e-7	0.00004072138585879168	10
0.08317637711026708	3.0056610865435327	0.6654110168821367	14	0.02863324654181678	2.8911673288072457e-7	0.000049188899054892915	10
0.1	2.5	0.8	14	0.042011204783944586	2.989293605970406e-7	0.00006187333241040539	10
0.12022644346174131	2.0794094277566773	0.9618115476939305	15	0.06172248953677632	1.0495394132181667e-7	0.00004102282260369914	10
0.1445439770745928	1.7295774272973408	1.1563518165967424	15	0.0907478164651632	1.0330604782802957e-7	0.00005074652278899669	10
0.17378008287493762	1.4385998433428917	1.390240662999501	15	0.13344509559796253	1.1020318150811176e-7	0.00006333269473602977	10
0.20892961308540386	1.1965752308065964	1.671436904683231	16	0.19561431383565878	3.9350657527781484e-8	0.000042107103452148414	10
0.25118864315095796	0.9952679263837433	2.0095091452076637	16	0.2850627880408193	3.801843424828638e-8	0.000052066536285978	10
0.3019951720402016	0.8278278037064778	2.415961376321613	16	0.41099980514353923	3.7241864093287226e-8	0.00006427605692257572	10
0.3630780547701014	0.6885571758345415	2.9046244381608113	17	0.5827897371419251	1.5198460607998995e-8	0.00004327101734297622	10
0.4365158322401661	0.5727169131919431	3.492126657921329	17	0.8080672244811139	1.4860919873201845e-8	0.00005341159387788662	10
