beta	a	b	lmax	sigmaT/((4 pi)/k^2)	DeltasigmaT	delta_lmax	counter
0.001	500.	0.002	12	4.033445549796734e-7	7.638278965233145e-6	-6.644530577419893e-6	10
0.001202264434617413	415.8818855513355	0.002404528869234826	12	5.833523139222752e-7	3.15105667072942e-6	-6.791018269076049e-6	10
0.001445439770745928	345.91548545946813	0.002890879541491856	12	8.437604487840482e-7	0.000011360857539897817	-6.079016548908518e-6	10
0.0017378008287493763	287.71996866857836	0.0034756016574987525	12	1.2195555690614688e-6	3.030576640138796e-7	-6.775027910108902e-6	10
0.0020892961308540386	239.3150461613193	0.004178592261708077	12	1.7624350353756036e-6	4.583802840641588e-6	-5.907957118237388e-6	10
0.0025118864315095794	199.0535852767487	0.005023772863019159	12	2.546934158670365e-6	1.4570325207888363e-7	-6.481679309300234e-6	10
0.003019951720402016	165.56556074129554	0.006039903440804032	12	3.679808238502894e-6	2.0367413899427953e-8	-6.491420701701876e-6	10
0.003630780547701014	137.7114351669083	0.007261561095402028	12	5.316907574609386e-6	1.2646944008363059e-6	-6.292707493504115e-6	10
0.004365158322401661	114.54338263838862	0.008730316644803322	12	7.6814088615499e-6	1.7546993780084623e-7	-6.020578261548248e-6	10
0.005248074602497723	95.27303589816242	0.010496149204995446	12	0.000011096865374928902	6.5697253318194e-8	-6.725235477101392e-6	10
0.00630957344480193	79.2446596230557	0.01261914688960386	12	0.000016026276219785985	8.781266007230405e-8	-6.592024718908944e-6	10
0.007585775750291836	65.91283692782036	0.015171551500583672	12	0.000023139878680569633	4.75877765487846e-8	-6.7242558062204e-6	10
0.009120108393559097	54.823909807159254	0.018240216787118194	12	0.000033402764494278676	1.0116511598089454e-7	-6.622682817403433e-6	10
0.01096478196143185	45.600541967795486	0.0219295639228637	12	0.00004820894098635012	1.2241483185310419e-7	-6.355691119740901e-6	10
0.013182567385564075	37.92887875145918	0.02636513477112815	12	0.00006955604473515947	1.180940185565743e-9	-6.534011556671865e-6	10
0.015848931924611134	31.547867224009664	0.03169786384922227	12	0.00010032482573609289	5.08986213445325e-8	-6.276903334657497e-6	10
0.019054607179632473	26.24037301248863	0.03810921435926495	12	0.00014463433665475977	2.770238092719703e-9	-6.890534976920375e-6	10
0.022908676527677734	21.825791612008295	0.04581735305535547	12	0.00020821487685468472	3.3381902463924714e-10	-6.648753448185469e-6	10
0.02754228703338166	18.15390273850507	0.05508457406676332	12	0.000299782251925539	1.6271788614369898e-8	-6.447878976786548e-6	10
0.03311311214825911	15.099758602010079	0.06622622429651823	12	0.0004313109804418439	3.6184062779167623e-8	-5.875408381827341e-6	10
0.039810717055349734	12.559432157547898	0.07962143411069947	12	0.0006208412408151309	1.1142047170377312e-8	-6.728396302160971e-6	10
0.047863009232263824	10.4464806542702	0.09572601846452765	12	0.0008915766847894944	8.156795390450366e-10	-6.6025604871085e-6	10
0.057543993733715694	8.689004143746876	0.11508798746743139	12	0.0012714522087414856	8.369130874524018e-10	-6.698203235196792e-6	10
0.06918309709189366	7.227198853729637	0.13836619418378732	12	0.001830936177196556	6.245151147014286e-10	-6.831267590905995e-6	10
0.08317637711026708	6.011322173087065	0.16635275422053417	12	0.002616719817204847	5.712284735653396e-10	-6.454139338162313e-6	10
0.1	5.	0.2	12	0.003731147214085235	6.126549580051293e-11	-6.588363115520038e-6	10
0.12022644346174131	4.1588188555133545	0.24045288692348263	12	0.0051935987009867875	5.276157964860352e-10	-6.381657382816339e-6	10
0.1445439770745928	3.4591548545946815	0.2890879541491856	12	0.00751907567076322	2.134305550965954e-10	-6.829543768667358e-6	10
0.17378008287493762	2.8771996866857834	0.34756016574987525	12	0.010613872172154698	6.088243405868409e-11	-6.547194536871784e-6	10
0.20892961308540386	2.393150461613193	0.41785922617080773	12	0.01491127383046098	7.223557913012994e-12	-6.991370676171481e-6	10
0.25118864315095796	1.9905358527674866	0.5023772863019159	12	0.02083017875827763	9.05701098136681e-11	-6.780854593849628e-6	10
0.3019951720402016	1.6556556074129556	0.6039903440804032	12	0.028906741776833722	7.015806020045489e-11	-7.313545831230909e-6	10
0.3630780547701014	1.377114351669083	0.7261561095402028	12	0.03979057694571741	1.5110142278536348e-11	-7.157992618170429e-6	10
0.4365158322401661	1.1454338263838861	0.8730316644803322	12	0.05427608398533664	2.478468428694511e-10	-7.252539409741293e-6	10
0.5248074602497729	0.9527303589816231	1.0496149204995457	12	0.07325445265679216	2.6323758130702412e-11	-7.68026210480341e-6	10
0.6309573444801936	0.7924465962305564	1.2619146889603872	12	0.09768867276616632	5.3438519566144774e-11	-7.627532551867459e-6	10
0.7585775750291835	0.6591283692782037	1.517155150058367	12	0.12847684426488976	9.477245321572763e-11	-7.753320602035558e-6	10
0.9120108393559097	0.5482390980715925	1.8240216787118193	12	0.16664193238190703	3.556350086050309e-11	-8.055378241087944e-6	10
1.096478196143185	0.4560054196779548	2.19295639228637	12	0.21284178402884132	8.959313606632123e-11	-8.812728878581107e-6	10
1.3182567385564075	0.3792887875145918	2.636513477112815	12	0.26757390555203875	1.1289675183970802e-10	-9.160886598668822e-6	10
1.584893192461114	0.3154786722400965	3.169786384922228	12	0.33109697559597273	1.0586111799888426e-10	-9.727326354792305e-6	10
1.9054607179632483	0.26240373012488616	3.8109214359264967	12	0.4033319042809238	8.02132554618172e-11	-9.937654686725091e-6	10
2.2908676527677723	0.21825791612008305	4.5817353055355445	12	0.4845841666338551	1.743593956960259e-10	-0.000010879770714915797	10
2.7542287033381663	0.18153902738505068	5.5084574066763325	12	0.5745098666107877	2.408110649855201e-10	-0.000011893216739386502	10
3.311311214825911	0.1509975860201008	6.622622429651822	13	0.673200222909478	2.3244256149105748e-11	-9.159342651900097e-6	10
3.981071705534973	0.12559432157547898	7.962143411069946	13	0.7806351083968586	6.467874699647162e-11	-0.000010189549480326323	10
4.786300923226385	0.10446480654270195	9.57260184645277	13	0.8972988735298001	5.1201476473557444e-11	-0.00001018637649755359	10
5.754399373371572	0.08689004143746873	11.508798746743144	13	1.0233101312843194	1.0412124581943718e-10	-0.000011417260245993798	10
6.918309709189363	0.0722719885372964	13.836619418378726	13	1.1590159823251713	9.687946482992937e-11	-0.000012011948111673744	10
8.317637711026709	0.06011322173087065	16.635275422053418	13	1.3047303760812088	1.2691629131687438e-10	-0.000012848404647074279	10
10.	0.05	20.	13	1.4608717659776196	2.27562348148477e-10	-0.000014411135569972152	10
12.02264434617413	0.04158818855513354	24.04528869234826	13	1.6276677980165903	1.8281315689673378e-10	-0.00001556458592167386	10
14.45439770745928	0.03459154854594681	28.90879541491856	13	1.8053902958437082	2.4390108728730414e-10	-0.00001732746216564436	10
17.378008287493763	0.028771996866857833	34.75601657498753	14	1.9943078265080447	4.3274423106621814e-11	-0.000011638034356613131	10
20.892961308540407	0.0239315046161319	41.785922617080814	14	2.1946322809062897	7.532711445187497e-11	-0.000012973607446721734	10
25.11886431509582	0.019905358527674846	50.23772863019164	14	2.406571667810831	1.0139602740669602e-10	-0.000013980857985509001	10
30.199517204020193	0.01655655607412954	60.399034408040386	14	2.630323366251154	1.0192434699032754e-10	-0.000014886177553450898	10
36.30780547701018	0.013771143516690816	72.61561095402035	14	2.8660665002671513	1.6225335466047947e-10	-0.000016664230018880057	10
43.65158322401656	0.011454338263838874	87.30316644803312	14	3.1139716099178227	1.9590445361014103e-10	-0.000018914619898546258	10
52.48074602497723	0.009527303589816242	104.96149204995446	14	3.3741986025686113	2.894681855256768e-10	-0.000020917787090377974	10
63.0957344480193	0.00792446596230557	126.1914688960386	15	3.6468983602790197	7.901196787934721e-11	-0.000014619601217610453	10
75.85775750291836	0.006591283692782037	151.71551500583672	15	3.9322128695979135	8.801254199967064e-11	-0.000015406697978583264	10
91.20108393559097	0.005482390980715925	182.40216787118194	15	4.230277832599436	7.088101109248089e-11	-0.0000165698303668449	10
109.64781961431851	0.004560054196779548	219.29563922863701	15	4.541220275604638	1.2836792506903792e-10	-0.000018472551974002826	10
131.82567385564073	0.0037928878751459184	263.65134771128146	15	4.865161370500688	2.224302893425359e-10	-0.000021428567085395863	10
158.48931924611142	0.0031547867224009647	316.97863849222284	15	5.202215756970458	2.4721187077237217e-10	-0.000023485805092651433	10
190.54607179632484	0.0026240373012488614	381.0921435926497	15	5.5524928481766676	3.5370101546588735e-10	-0.00002642672573527628	10
229.08676527677747	0.0021825791612008283	458.17353055355494	15	5.9160962226382985	5.280439589643813e-10	-0.000030262767775844315	10
275.4228703338169	0.001815390273850505	550.8457406676338	16	6.2931250829876015	1.0413314505543508e-10	-0.00001907765319587076	10
331.1311214825914	0.0015099758602010066	662.2622429651828	16	6.683673402428456	1.678888075364038e-10	-0.000020908817569689998	10
398.1071705534977	0.0012559432157547886	796.2143411069954	16	7.087830910515062	1.9216802526323752e-10	-0.000023022472648193435	10
478.630092322638	0.0010446480654270204	957.260184645276	16	7.505683555826235	2.2559440489253142e-10	-0.000025255897380908936	10
575.4399373371566	0.0008689004143746882	1150.8798746743132	16	7.937312762683719	3.3898130419465135e-10	-0.0000290512486693988	10
691.8309709189363	0.000722719885372964	1383.6619418378725	16	8.382798094764443	4.783643092222795e-10	-0.00003379283464372614	10
831.7637711026708	0.0006011322173087066	1663.5275422053417	17	8.842213526891351	9.544242094100959e-11	-0.000020320522965938836	10
1000.	0.0005	2000.	17	9.31563060868346	1.355422021341698e-10	-0.000022494805261005654	10
