beta	a	b	lmax	sigmaT/((4 pi)/k^2)	DeltasigmaT	delta_lmax	counter
3630.7805477010174	0.0013771143516690817	72.61561095402037	10	0.043696670550194376	8.259484995539101e-11	-5.645647279624087e-6	10
4365.158322401666	0.0011454338263838849	87.30316644803334	11	0.24752114594136132	1.5165023707318339e-12	-6.123720643648029e-6	10
5248.074602497723	0.000952730358981624	104.96149204995449	11	0.6786292528652509	8.279688362841987e-13	-6.011740288029099e-6	10
6309.57344480193	0.0007924465962305569	126.19146889603863	11	0.038526802458014875	4.736777983889085e-14	-6.079044599881452e-6	10
7585.775750291836	0.0006591283692782036	151.71551500583675	10	0.1381428323141852	1.896679179243447e-12	-5.457745829572497e-6	10
9120.108393559096	0.0005482390980715926	182.40216787118194	10	0.20766509936015903	2.2093248520818562e-13	-6.000962307122995e-6	10
10964.78196143185	0.0004560054196779548	219.29563922863704	10	0.23515983003731147	1.802803601984992e-11	-5.324256087015076e-6	10
13182.567385564074	0.00037928878751459176	263.6513477112815	10	0.2080773093208797	9.744723380275115e-12	-5.207553921377268e-6	10
15848.93192461114	0.0003154786722400965	316.9786384922229	11	0.1292402955537648	5.929508590679212e-13	-6.0429437063639295e-6	10
19054.607179632483	0.00026240373012488614	381.09214359264973	11	0.18259379628391822	1.5081092455699443e-11	-6.004837771092955e-6	10
22908.676527677748	0.0002182579161200828	458.17353055355505	11	0.34704435636906794	1.7241447329183282e-12	-6.159572355943557e-6	10
27542.28703338169	0.0001815390273850505	550.8457406676339	11	0.02501066289739849	9.413174382210116e-12	-5.894269145829605e-6	10
33113.11214825915	0.00015099758602010063	662.2622429651831	10	0.22696544259914625	1.2869908740076114e-11	-5.371475465540749e-6	10
39810.71705534977	0.00012559432157547884	796.2143411069956	11	0.33269351821520937	1.192153146128864e-11	-5.838316672634687e-6	10
47863.0092322638	0.00010446480654270205	957.2601846452762	11	0.32634697142801455	2.0390395270756473e-11	-5.722685650531404e-6	10
57543.993733715666	0.0000868900414374688	1150.8798746743134	11	0.20927378232443916	4.0637237374760324e-13	-6.438816467864001e-6	10
69183.09709189362	0.0000722719885372964	1383.6619418378727	11	0.6658906181563139	1.1897343562444855e-11	-5.428347627281263e-6	10
83176.37711026709	0.00006011322173087065	1663.5275422053421	11	0.17144572437887465	1.1605179687260912e-11	-6.117553696597449e-6	10
100000.	0.00005	2000.0000000000005	12	0.25446688846027	1.9298361462594448e-11	-6.447216342162684e-6	10
